,ege_total,ege_math,ege_russian,ege_it,is_budget,program,ege_foreign
0,243,75.0,98.0,70.0,False,ITMB,
1,286,96.0,89.0,96.0,True,ITMB,
2,235,45.0,96.0,94.0,False,ITMB,
3,217,70.0,81.0,66.0,False,ITMB,
4,242,78.0,85.0,79.0,False,ITMB,
5,275,86.0,89.0,96.0,True,ITMB,
6,184,45.0,72.0,67.0,False,ITMB,
7,253,74.0,91.0,83.0,False,ITMB,
8,217,72.0,71.0,73.0,False,ITMB,
9,192,68.0,56.0,68.0,False,ITMB,
10,240,74.0,80.0,81.0,False,ITMB,
11,214,70.0,70.0,73.0,False,ITMB,
12,272,82.0,98.0,88.0,True,ITMB,
13,195,72.0,70.0,53.0,False,ITMB,
14,246,82.0,76.0,83.0,False,ITMB,
15,280,86.0,94.0,100.0,True,ITMB,
16,223,72.0,72.0,79.0,False,ITMB,
17,203,72.0,78.0,53.0,False,ITMB,
18,241,82.0,89.0,70.0,False,ITMB,
19,175,56.0,51.0,68.0,False,ITMB,
20,190,39.0,71.0,80.0,False,ITMB,
21,270,90.0,96.0,84.0,True,ITMB,
22,186,56.0,65.0,65.0,False,ITMB,
23,225,78.0,72.0,75.0,False,ITMB,
24,перевод,,,,False,ITMB,
25,восстанов,,,,False,ITMB,
26,перевод,,,,False,ITMB,
27,183,50.0,69.0,,False,FET,60.0
28,213,56.0,78.0,,False,FET,78.0
29,179,50.0,73.0,,False,FET,56.0
30,251,68.0,96.0,,False,FET,83.0
31,243,74.0,82.0,,False,FET,87.0
32,170,50.0,66.0,,False,FET,54.0
33,перевод,,,,False,FET,
34,209,56.0,78.0,,False,FM,75.0
35,204,50.0,85.0,,False,FM,69.0
36,253,82.0,85.0,,False,FM,86.0
37,204,62.0,82.0,,False,FM,60.0
38,262,80.0,94.0,,False,FM,83.0
39,206,56.0,76.0,,False,FM,74.0
40,185,56.0,56.0,,False,FM,73.0
41,249,72.0,89.0,,False,FM,88.0
42,212,50.0,76.0,,False,FM,86.0
43,179,50.0,65.0,,False,FM,64.0
44,192,62.0,72.0,,False,FM,58.0
45,восстанов,,,,False,FM,
46,перевод,,,,False,FM,
47,перевод,,,,False,FM,
